date,time,target,temp,temp_pred,weather_pred,weather_fact
2023-07-02,0,370.32500,15.80000,18.00000,облачно,"дождь, ветер"
2023-07-02,1,338.15900,15.80000,18.00000,облачно,"дождь, ветер"
2023-07-02,2,316.26100,15.80000,18.00000,облачно,"дождь, ветер"
2023-07-02,3,303.78000,15.70000,17.00000,пер.обл.,"дождь, ветер"
2023-07-02,4,289.20000,15.70000,17.00000,пер.обл.,"дождь, ветер"
2023-07-02,5,277.91000,15.70000,17.00000,пер.обл.,"дождь, ветер"
2023-07-02,6,282.01900,16.30000,18.00000,облачно,"дождь, ветер"
2023-07-02,7,297.55800,16.30000,18.00000,облачно,"дождь, ветер"
2023-07-02,8,321.97300,16.30000,18.00000,облачно,"дождь, ветер"
2023-07-02,9,360.92400,17.40000,17.00000,"обл., дождь 2,7 мм","пасм, ветер"
2023-07-02,10,397.90100,17.40000,17.00000,"обл., дождь 2,7 мм","пасм, ветер"
2023-07-02,11,426.30600,17.40000,17.00000,"обл., дождь 2,7 мм","пасм, ветер"
2023-07-02,12,436.42500,18.40000,18.00000,"пер.обл., дождь3,7 мм","пасм, ветер"
2023-07-02,13,434.73900,18.40000,18.00000,"пер.обл., дождь3,7 мм","пасм, ветер"
2023-07-02,14,430.65400,18.40000,18.00000,"пер.обл., дождь3,7 мм","пасм, ветер"
2023-07-02,15,423.48200,20.00000,19.00000,ясно,"пасм, ветер"
2023-07-02,16,417.47200,20.00000,19.00000,ясно,"пасм, ветер"
2023-07-02,17,413.85200,20.00000,19.00000,ясно,"пасм, ветер"
2023-07-02,18,414.98800,17.80000,20.00000,ясно,"пасм, ветер"
2023-07-02,19,415.42700,17.80000,20.00000,ясно,"пасм, ветер"
2023-07-02,20,411.90000,17.80000,20.00000,ясно,"пасм, ветер"
2023-07-02,21,407.55700,16.10000,18.00000,ясно,"пасм, ветер"
2023-07-02,22,411.49400,16.10000,18.00000,ясно,"пасм, ветер"
2023-07-02,23,397.82300,16.10000,18.00000,ясно,"пасм, ветер"
2023-07-03,0,362.07400,13.00000,17.00000,ясно,пасм ветер
2023-07-03,1,327.76600,13.00000,17.00000,ясно,пасм ветер
2023-07-03,2,305.00900,13.00000,17.00000,ясно,пасм ветер
2023-07-03,3,294.11700,12.40000,16.00000,ясно,облачно
2023-07-03,4,281.09600,12.40000,16.00000,ясно,облачно
2023-07-03,5,272.48300,12.40000,16.00000,ясно,облачно
2023-07-03,6,286.14100,16.80000,18.00000,ясно,"малообл, ветер"
2023-07-03,7,321.05600,16.80000,18.00000,ясно,"малообл, ветер"
2023-07-03,8,363.40200,16.80000,18.00000,ясно,"малообл, ветер"
2023-07-03,9,409.37700,19.60000,20.00000,ясно,"малообл, ветер"
2023-07-03,10,433.38900,19.60000,20.00000,ясно,"малообл, ветер"
2023-07-03,11,447.78000,19.60000,20.00000,ясно,"малообл, ветер"
2023-07-03,12,451.14800,20.60000,23.00000,малообл.,"пасм, ветер"
2023-07-03,13,447.07900,20.60000,23.00000,малообл.,"пасм, ветер"
2023-07-03,14,446.10300,20.60000,23.00000,малообл.,"пасм, ветер"
2023-07-03,15,445.23700,20.80000,22.00000,пер.обл.,"пасм, ветер"
2023-07-03,16,451.94500,20.80000,22.00000,пер.обл.,"пасм, ветер"
2023-07-03,17,446.13000,20.80000,22.00000,пер.обл.,"пасм, ветер"
2023-07-03,18,437.12800,18.70000,22.00000,ясно,п/обл
2023-07-03,19,434.18400,18.70000,22.00000,ясно,п/обл
2023-07-03,20,423.90700,18.70000,22.00000,ясно,п/обл
2023-07-03,21,420.04900,12.00000,19.00000,ясно,п/обл
2023-07-03,22,426.93400,12.00000,19.00000,ясно,п/обл
2023-07-03,23,413.28300,12.00000,19.00000,ясно,п/обл
2023-07-04,0,373.82300,11.40000,17.00000,ясно,дымка
